Item name,Brand_Name,LabelWise_Category,Source_Category,Sub_Category,Serving_Size_g,Calories_kcal,Proteins_g,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Sugar_g,Sodium_mg,Dietary_Fiber_g
HIDE & SEEK® ,PARLE,BISCUITS_AND_BAKERY,BISCUIT,COOKIES,100,479,5.9,18,9.4,0,32.5,114,0
Britannia Nutrichoice Digestive High-Fibre Biscuits,BRITANNIA,BISCUITS_AND_BAKERY,BISCUIT,DIGESTIVE BISCUIT,100,483,9.3,20.8,10.3,0,12.7,362,6.7
"Sunfeast Dark Fantasy Choco Fills, Original Filled Cookies with Choco Crème",SUNFEAST,BISCUITS_AND_BAKERY,BISCUIT,CHOCO FILLS,100,507,7.3,27.3,12.7,0.1,35.7,181.5,0
Frooti Mango Fruit Juice,FROOTI,BEVERAGES_AND_JUICES,JUICE,FRUIT BEVERAGE,100,62.9,0,0,0,0,15.6,25.4,0
Paper Boat Lychee Fruit Juice,PAPER BOAT,BEVERAGES_AND_JUICES,JUICE,FRUIT BEVERAGE,100,62.4,0,0,0,0,15.4,121,0
Yu Berry Blast 100% Fruit Juice With Berry Pieces,YU FOODS,BEVERAGES_AND_JUICES,JUICE,FRUIT BEVERAGE,100,47,0,0,0,0,6.4,10.7,2
Mille Jowar Puffs,MILLE,SAVOURY_SNACKS,SNACKS,PUFFSS,100,439.2,6.7,18.7,3.7,0,3.1,1064.5,3.7
Modern Kitchens Banana Chips Salted,MODERN KITCHENS,SAVOURY_SNACKS,SNACKS,BANANACHIPS,100,567,3.24,36,17.8,0,7.2,343,7.6
Let's Try Potato Wafers,LET'S TRY,SAVOURY_SNACKS,SNACKS,WAFER,100,583,7,35,7.5,0,4.5,700,3
Nestle Munch Max Choco Coated Crunchy WAFERBar,NESTLE,CHOCOLATE_AND_SWEETS,CHOCOLATE,WAFERCHOCOLATE,100,428,5.7,22.8,22.4,0.06,32.2,86.3,0
Cadbury Dairy Milk Chocolate Bar,CADBURY,CHOCOLATE_AND_SWEETS,CHOCOLATE,CHOCOLATE BAR,100,531,7.9,29,19.6,0.1,57,129,0
Ferrero Rocher,FERRERO ROCHER,CHOCOLATE_AND_SWEETS,CHOCOLATE,MILK CHOCOLATE,100,595,8.2,42.7,0,0,39.9,0,0
Currychief Madras Sambar,CURRYCHIEF,INSTANT_AND_READY_FOODS,INSTANT FOOD,SAMBAR,100,178,7.4,8.3,0,0,0,0,0
Yu Jalapeno Cheese,YU FOODS,INSTANT_AND_READY_FOODS,INSTANT FOOD,NOODLES,140,252,8,6,3,0,2,633,6
MOM 3 Cheese Instant Pasta,MOM,INSTANT_AND_READY_FOODS,INSTANT FOOD,PASTA,100,392.9,12.1,8.1,2.7,0,4,392.9,4
Kissan Fresh Tomato Ketchup,KISSAN,SAUCES_AND_SPREADS,SAUCE,KETCHUP,100,133,1.1,0.4,0.03,0,29.2,948,0.6
"Ching's Secret Dark Soy Sauce, Rich, Brown and Zesty",CHINGS SECRET,SAUCES_AND_SPREADS,SAUCE,SOY SAUCE,100,115,0.7,0,0,0,20.9,6693,0
Veeba Smokey Barbeque Sauce,VEEBA,SAUCES_AND_SPREADS,SAUCE,BARBEQUE SAUCE,100,110.9,0.4,0.1,0,0,23.3,1100,0
Britannia The Laughing Cow Processed Cream Cheese Spread,BRITANNIA,DAIRY_AND_YOGURT,DAIRY,CHEESE ,100,301,7.5,29,18,1.2,2.5,410,0
Mooz Mozzarella & Cheddar Pizza Cheese,WOOZ,DAIRY_AND_YOGURT,DAIRY,CHEESE ,100,273,25,18,0,0,0,0,0
Amul A2 Buffalo Milk Dahi,AMUL,DAIRY_AND_YOGURT,DAIRY,CURD,100,87,3.3,6.5,3.9,0,3.8,45,0
Arun VANILLA CAKE Ice Cream Tub,ARUN,ICE_CREAM_AND_DESSERTS,ICEREAMES,ICECREAM,100,307,6.1,16.2,10.4,0,,,0
Arun Chocolate Ice Cream Tub,ARUN,ICE_CREAM_AND_DESSERTS,ICEREAMES,ICECREAM,100,150.5,2.7,7.3,4.7,0,17,39.9,0
Arun Pista Ice Cream Tub,ARUN,ICE_CREAM_AND_DESSERTS,ICEREAMES,ICECREAM,100,139,2.8,7.7,4.4,0,14.5,41.6,0
